,year,title,director,cast,genre,producer,link,music
899,2014,Aandava Kaapaathu,Lebin,"Harish, Aleesha, Nizhalgal Ravi",Drama,LML Creations,/w/index.php?title=Aandava_Kaapaathu&action=edit&redlink=1,
900,2014,Kandharvan,Salangai Durai,"Kadhir, Honey Rose, Ganja Karuppu",Action,Thamarai Movies,/w/index.php?title=Kandharvan&action=edit&redlink=1,
901,2014,Naan Sigappu Manithan,Thiru,"Vishal, Lakshmi Menon, Iniya",Thriller,UTV Motion PicturesVishal Film Factory,/wiki/Naan_Sigappu_Manithan_(2014_film),
902,2014,Idhuvum Kadandhu Pogum,"Anil Krishnan, Srihari Prabaharan","Shivaji Dev, Shilpa Bhatt, Anusha Varma, Ravi Raghavendra",Drama,AVM Productions,/wiki/Idhuvum_Kadandhu_Pogum,Umashankar
903,2014,Damaal Dumeel,Shree,"Vaibhav, Remya Nambeesan",Thriller,Cameo Films,/wiki/Damaal_Dumeel,S. Thaman
904,2014,Karpavai Katrapin,Patturam Senthil,"Madhu Raghuram, Abinitha, Sandeep",Romance,Patturam Production,/w/index.php?title=Karpavai_Katrapin&action=edit&redlink=1,
905,2014,Tenaliraman,Yuvaraj Dhayalan,"Vadivelu, Meenakshi Dixit",Historical comedy/Satire,AGS Entertainment,/wiki/Tenaliraman_(film),
906,2014,Thalaivan,Ramesh Selvan,"Bas, Nikesha Patel, Santhanam",Action,Blue Ocean Pictures,/wiki/Thalaivan,"Vidyasagar,Vidyasagar"
907,2014,Ennamo Nadakkudhu,Rajapandi,"Vijay Vasanth, Mahima Nambiar, Prabhu, Rahman",Thriller,Triple V Records,/wiki/Ennamo_Nadakkudhu,Premgi Amaren
908,2014,Pongadi Neengalum Unga Kadhalum,Ramakrishnan,"Ramakrishnan, Athmiya Rajan, Karunya Ram",Romance,Wisdom Pictures,/wiki/Pongadi_Neengalum_Unga_Kadhalum,"Kannan,Kannan"
909,2014,Vaayai Moodi Pesavum,Balaji Mohan,"Dulquer Salman, Nazriya Nazim, Madhoo",Romantic comedy,Y NOT StudiosRadiance Media,/wiki/Vaayai_Moodi_Pesavum,Sean Roldan
910,2014,Yennamo Yedho,Ravi Thiyagarajan,"Gautham Karthik, Rakul Preet Singh, Nikesha Patel, Prabhu",Romantic comedy,Ravi Prasad Productions,/wiki/Yennamo_Yedho,D. Imman
911,2014,Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav, Pasupathy",Thriller,Endemol India,/wiki/Anaamika_(2014_film),M. M. Keeravani
912,2014,Dhavani Kaatru,VRP Manohar,"Aaradhya, Murali, Ravikumar",Romance,Santhosh Studios,/w/index.php?title=Dhavani_Kaatru&action=edit&redlink=1,
913,2014,Nee En Uyire,Vikas Lathithraj,"Navarasan, Vaishali",Romance,Sri Lakshmi Vrushadhri Productions,/w/index.php?title=Nee_En_Uyire&action=edit&redlink=1,
914,2014,Eppothum Vendran,Siva Shanmugan,"Sanjay, Sunu Lakshmi",Action,ARR Creations,/w/index.php?title=Eppothum_Vendran&action=edit&redlink=1,
915,2014,Yaamirukka Bayamey,Deekay,"Kreshna, Rupa Manjari, Oviya",Horror comedy,RS Infotainment,/wiki/Yaamirukka_Bayamey,Prasad SN
916,2014,Angusam,Manukannan,"Skanda Ashok, Jayati Guha",Action,Manusri Film International,/w/index.php?title=Angusam&action=edit&redlink=1,
917,2014,Vallavanukku Pullum Aayudham,Srinath,"Santhanam, Ashna Zaveri, Mirchi Senthil, Nagineedu",Action comedy,"PVP Cinema,Handmade Films",/wiki/Vallavanukku_Pullum_Aayudham,Siddharth Vipin
918,2014,Enn Nenjai Thottaye,R. K. Anbuselvan,"Ravi Kumar, Pavithra",Romance,Guru Surya Movies,/w/index.php?title=Enn_Nenjai_Thottaye&action=edit&redlink=1,
919,2014,Kochadaiiyaan,Soundarya Rajinikanth,"Rajinikanth, Deepika Padukone, Shobhana, Sarathkumar, Aadhi, Jackie Shroff, Nassar",Animation/Period,Eros International,/wiki/Kochadaiiyaan,A. R. Rahman
920,2014,Amma Ammamma,Balu Manivannan,"Saranya, Sampath Raj, Anand",Drama,Chandrasekhar Thiraikalam,/w/index.php?title=Amma_Ammamma&action=edit&redlink=1,
