,year,title,director,cast,genre,producer
608,2016,Nunnunarvu,Mathivanan Sakthivel,"Mathivanan Sakthivel, Indira",Thriller,Sakthi Screens
609,2016,Thirumaal Perumai,Gopal Ram,"Gopal Ram, Tamilmani, Vaiyapuri, Delhi Ganesh",Devotional,MGS Films
610,2016,Devi,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood",Supernatural comedy,Prabhu Deva Studios
611,2016,Rekka,Rathina Shiva,"Vijay Sethupathi, Lakshmi Menon, Kabir Duhan Singh",Action masala,Comman Man Productions
612,2016,Remo,Bakkiyaraj Kannan,"Sivakarthikeyan, Keerthy Suresh, Sathish",Romantic comedy,24AM Studios
613,2016,Ammani,Lakshmy Ramakrishnan,"Lakshmy Ramakrishnan, Subbalakshmi, Nithin Sathya",Drama,Tag Entertainment
614,2016,Kagitha Kappal,S. Sivaraman,"Appukutty, Dilija, M. S. Bhaskar",Drama,Evergreen Movie International
615,2016,Nee Enbathu,A. R. Rahim,"Mukil, Shamja, Pandi",Romance,Try Film Productions
616,2016,Nenjukkulla Nee Neranjirukka,Sampathkumar–Rajendran,"Sivahari, Ameetha",Drama,S. S. Studio Production
617,2016,Kaashmora,Gokul,"Karthi, Nayanthara, Sri Divya",Supernatural,Dream Warrior Pictures
618,2016,Kodi,R. S. Durai Senthilkumar,"Dhanush, Trisha, Anupama Parameswaran",Political thriller,Grass Root Film Company
619,2016,Thiraikku Vaaradha Kadhai,Thulasidas,"Nadhiya, Iniya, Eden, Subiksha",Horror,MJD Production
620,2016,Kadalai,P. Sagayasuresh,"Ma Ka Pa Anand, Aishwarya Rajesh, John Vijay, Ponvannan",Comedy,Udhayam Entertainment
621,2016,Ini Avanea,Sampathraj,"Santhosh, Sasi, Ashleysha, Ruby, Pavani Reddy",Action Thriller,Tamil Thai Creations & A.N.A Movie Creations
622,2016,Achcham Yenbadhu Madamaiyada,Gautham Menon,"Silambarasan, Manjima Mohan, Baba Sehgal",Action Thriller,Ondraga Entertainment & Escape Artists Motion Pictures
623,2016,Meen Kuzhambum Mann Paanaiyum,Amudheswar,"Kalidas Jayaram, Ashna Zaveri, Prabhu, Pooja Kumar",Comedy,Eshan Productions
624,2016,Anjukku Onnu,Arviyar,"Amar, Guru Siddharth, Jerold, Megna, Umasri",Comedy,Parents Pictures
625,2016,Kadavul Irukaan Kumaru,M. Rajesh,"G. V. Prakash Kumar, Nikki Galrani, Anandhi, Prakash Raj",Comedy,Amma Creations
626,2016,Kavalai Vendam,Deekay,"Jiiva, Kajal Aggarwal, Bobby Simha, Sunaina",Romantic comedy,RS Infotainment
627,2016,Ilami,Julian Prakash,"Yuvan, Anu Krishna, Akhil, Ravi Mariya",Historical,Joe Productions
628,2016,Kannula Kaasa Kattappa,Major Gowtham,"Aravind Akash, Chandini Tamilarasan, Ashwathy Warrier",Comedy,Sugar & Spice Entertainment
629,2016,Pattathaari,A. R. Sankar Pandi,"Abi Saravanan, Sayana Santhosh, Ambani Shankar",Comedy,Ges Movies
630,2016,Virumandikum Sivanandikum,Vincent Selva,"Sanjay, Arundhati Nair, Thambi Ramaiah, Robo Shankar",Comedy,Lakshmi Talkies
631,2016,Saithan,Pradeep Krishnamoorthy,"Vijay Antony, Arundhati Nair",Psychological thriller,Vijay Antony Film Corporation
