,year,title,director,cast,genre,producer
958,2014,Ninaivil Nindraval,Agasthiya Bharathi,"Ashwin Sekhar, Keerthi Chawla, Gayathri Venkatagiri",Action,Sri Sabari Movies
959,2014,Rummy,Balakrishnan,"Vijay Sethupathi, Aishwarya Rajesh, Inigo Prabhakaran, Gayathrie",Drama,JSK Film Corporation
960,2014,Kovalanin Kadhali,K. Arjunaraja,"Dileepkumar, Kiranmai, Navneet Kapoo",Romance,Good Day Films
961,2014,Pannaiyarum Padminiyum,Arun Kumar,"Vijay Sethupathi, Aishwarya Rajesh, Jayaprakash",Comedy-drama,Magicbox Films
962,2014,Pulivaal,Maarimuthu,"Vimal, Prasanna, Ananya, Iniya, Oviya",Thriller,Magic Frames
963,2014,Vu,Ashik,"Thambi Ramiah, Varun, Madhan, Neha",Comedy,Phoenix Pictures
964,2014,Chandra,Roopa Iyer,"Shriya Saran, Prem Kumar, Ganesh Venkatraman, Vivek",Fantasy-period,India Classic Arts & Narasimha Arts
965,2014,Idhu Kathirvelan Kadhal,S. R. Prabhakaran,"Udhayanidhi Stalin, Nayantara, Chaya Singh",Romantic comedy,Red Giant Movies
966,2014,Madhavanum Malarvizhiyum,Masil,"Ashwin Kumar, Sija Rose, Neeraja",Romance,Girija Productions
967,2014,Rettai Kadhir,Ramkishore,"Subbu, Sumitha, Pandiarajan",Romance,VNS Productions
968,2014,Aaha Kalyanam,Gokul,"Nani, Vaani Kapoor",Romantic comedy,Yash Raj Films
969,2014,Bramman,Socrates,"Sasikumar, Lavanya Tripathi, Santhanam",Masala,K Manju Cinemas
970,2014,Chithirai Thingal,R. Manikkam,"Kieran, Swathi, Ashwin, Rekha",Romance,Mayura Silver Screens
971,2014,Manaivi Amaivathellam,K. Umachithra,"Mohanraj, Rajeswari, Vinod Kumar, Subburaj",Drama,Sri Shanthai Durgai Amman Movies
972,2014,Nila Kaaikirathu,Prabhu,,Adult,Blue Whale International
973,2014,Venmegam,Ram-Laxman,"Vidharth, Ishara Nair, Jayashree Sivadas",Drama,Sujatha Sunitha Combines
974,2014,Amara,M. Jeevan,"Amaran, Sruthi Ramakrishnan, Ashish Vidyarthi",Action,TKM Films
975,2014,Panivizhum Malarvanam,P. James David,"Abhilash, Sanyathara, Varsha Ashwathi",Action,CTN & Raymax Media
976,2014,Thegidi,Ramesh,"Ashok Selvan, Janani Iyer",Thriller,Thirukumaran Entertainment
977,2014,Vallinam,Arivazhagan,"Nakul, Mrudhula Basker, Atul Kulkarni",Sports drama,Aascar Films
978,2014,Endrendrum,Sinish,"Sathish Krishnan, Priyanka Reddy",Romance,A NOD Production
979,2014,Ethir Veechu,K. Guna,"Irfan, Rasna",Sports drama,Malik Streams Corporation
980,2014,Veeran Muthu Raaku,C. Raja Sekaran,"Kathir, Liyasree, Aadukalam Naren",Drama,Kripathy Movies
981,2014,Nimirndhu Nil,Samuthirakani,"Jayam Ravi, Amala Paul, Ragini Dwivedi, Sarathkumar",Action drama,Vasans Visual Ventures
982,2014,Aadhiyum Andhamum,Kaushik,"Ajay, Mitali Agarwal, Kavitha Srinivasan",Thriller,RSR Screens
983,2014,Kadhal Solla Aasai,Thamizh Seenu,"Ashok, Wasna Ahmed, Madhu Raghuram",Romance,Emersigns Productions
984,2014,Marumugam,Kamal Subramaniam,"Daniel Balaji, Preethi Das, Anoop Kumar",Thriller,Entertainment Unlimited
985,2014,Oru Modhal Oru Kadhal,Keerthi Kumar,"Vivek Rajgopal, Megha Burman",Romantic comedy,Kandan Gear up Entertainment
986,2014,Cuckoo,Raju Murugan,"Attakathi Dinesh, Malavika Nair",Romantic drama,Fox Star Studios
987,2014,Kerala Nattilam Pengaludane,S. S. Kumaran,"Abi Saravanan, Gayathri, Abirami Suresh, Deekshitha Manikkam",Romantic comedy,Suma Pictures
988,2014,Pani Vizhum Nilavu,Kaushik,"Hriday, Eden Kuriakosse",Romance,Vee Ess Pictures
989,2014,Virattu,Kumar T.,"Sujiv, Erica Fernandes, Pragya Jaiswal",Thriller,Teja Cinemas
990,2014,Yasagan,Duraivanan,"Mahesh, Niranjana",Drama,Agaram Productions
991,2014,Inam,Santosh Sivan,"Sugandha Ram, S. Karan, Saritha, Karunas",Drama,Santosh Sivan Films
992,2014,Marumunai,Mariesh Kumar,"Maruthi, Mrudhula Bhaskar",Romance,MPL Films
993,2014,Nedunchaalai,N. Krishna,"Aari, Sshivada, Prashant Narayanan",Drama,Fine Focus
994,2014,Oru Oorla,K. S. Vasanthakumar,"Venkatesh, Neha Patil",Drama,Vignesh Productions
995,2014,Koottam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Kishore",Drama,Mammoth Media
996,2014,Maan Karate,Thirukumaran,"Sivakarthikeyan, Hansika Motwani, Vamsi Krishna",Fantasy,"Escape Artists Motion Pictures,AR Murugadoss Productions"
997,2014,Oru Kanniyum Moonu Kalavaanikalum,Chimbu Deven,"Arulnithi, Bindu Madhavi, Ashrita Shetty",Comedy,Mohana Movies
998,2014,Aandava Kaapaathu,Lebin,"Harish, Aleesha, Nizhalgal Ravi",Drama,LML Creations
999,2014,Kandharvan,Salangai Durai,"Kadhir, Honey Rose, Ganja Karuppu",Action,Thamarai Movies
1000,2014,Naan Sigappu Manithan,Thiru,"Vishal, Lakshmi Menon, Iniya",Thriller,UTV Motion PicturesVishal Film Factory
1001,2014,Idhuvum Kadandhu Pogum,"Anil Krishnan, Srihari Prabaharan","Shivaji Dev, Shilpa Bhatt, Anusha Varma, Ravi Raghavendra",Drama,AVM Productions
1002,2014,Damaal Dumeel,Shree,"Vaibhav, Remya Nambeesan",Thriller,Cameo Films
1003,2014,Karpavai Katrapin,Patturam Senthil,"Madhu Raghuram, Abinitha, Sandeep",Romance,Patturam Production
1004,2014,Tenaliraman,Yuvaraj Dhayalan,"Vadivelu, Meenakshi Dixit",Historical comedy/Satire,AGS Entertainment
1005,2014,Thalaivan,Ramesh Selvan,"Bas, Nikesha Patel, Santhanam",Action,Blue Ocean Pictures
1006,2014,Ennamo Nadakkudhu,Rajapandi,"Vijay Vasanth, Mahima Nambiar, Prabhu, Rahman",Thriller,Triple V Records
1007,2014,Pongadi Neengalum Unga Kadhalum,Ramakrishnan,"Ramakrishnan, Athmiya Rajan, Karunya Ram",Romance,Wisdom Pictures
1008,2014,Vaayai Moodi Pesavum,Balaji Mohan,"Dulquer Salman, Nazriya Nazim, Madhoo",Romantic comedy,Y NOT StudiosRadiance Media
1009,2014,Yennamo Yedho,Ravi Thiyagarajan,"Gautham Karthik, Rakul Preet Singh, Nikesha Patel, Prabhu",Romantic comedy,Ravi Prasad Productions
1010,2014,Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav, Pasupathy",Thriller,Endemol India
1011,2014,Dhavani Kaatru,VRP Manohar,"Aaradhya, Murali, Ravikumar",Romance,Santhosh Studios
1012,2014,Nee En Uyire,Vikas Lathithraj,"Navarasan, Vaishali",Romance,Sri Lakshmi Vrushadhri Productions
1013,2014,Eppothum Vendran,Siva Shanmugan,"Sanjay, Sunu Lakshmi",Action,ARR Creations
1014,2014,Yaamirukka Bayamey,Deekay,"Kreshna, Rupa Manjari, Oviya",Horror comedy,RS Infotainment
1015,2014,Angusam,Manukannan,"Skanda Ashok, Jayati Guha",Action,Manusri Film International
1016,2014,Vallavanukku Pullum Aayudham,Srinath,"Santhanam, Ashna Zaveri, Mirchi Senthil, Nagineedu",Action comedy,"PVP Cinema,Handmade Films"
1017,2014,Enn Nenjai Thottaye,R. K. Anbuselvan,"Ravi Kumar, Pavithra",Romance,Guru Surya Movies
1018,2014,Kochadaiiyaan,Soundarya Rajinikanth,"Rajinikanth, Deepika Padukone, Shobhana, Sarathkumar, Aadhi, Jackie Shroff, Nassar",Animation/Period,Eros International
1019,2014,Amma Ammamma,Balu Manivannan,"Saranya, Sampath Raj, Anand",Drama,Chandrasekhar Thiraikalam
1020,2014,Adhu Vera Idhu Vera,M. Thilagarajan,"Varshan, Sanyathara, Imman Annachi",Comedy,Jeni Powerful Media
1021,2014,Hogenakkal,Murthy M. R.,"Thamizhvanan, Jothinanda, Sravya",Drama,Ezhil Productions
1022,2014,Poovarasam Peepee,Halitha Shameem,"Gaurav Kalai, Pravin Kishore, Vasanth",Adventure,"V Talkies,Baby Shoe Productions"
1023,2014,Athiyayam,R. Yuvan,"Sharan Selvam, Ashmitha, Varsha, Pandi, Shankar Guru, Raja",Drama,Film Factory
1024,2014,Manjapai,Naveen Raghavan,"Vimal, Lakshmi Menon, Rajkiran",Comedy drama,Thirupathi Brothers
1025,2014,Un Samayal Arayil,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Tejus, Samyuktha Hornad",Romance,Duet Movies
1026,2014,Mundaasupatti,Ram,"Vishnu, Nandita Swetha",Comedy,Thirukumaran Entertainment
1027,2014,Naan Than Bala,Kannan,"Vivek, Swetha, Venkatraj",Drama,SSS Entertainments
1028,2014,Ottam Aarambam,VST John,"Zaheer, Ezhil",Action,TRY Creations
1029,2014,Thirudu Pogatha Manasu,Chella Thangiah,"Senthil Ganesh, Sai Aishwarya, Thangaiya",Romance,Ajantha Kalaikoodam
1030,2014,Uyirukku Uyiraga,Manoj Kumar,"Sanjeev, Sharran Kumar, Nandhana, Preethi Das",Drama,Motherland Movies
1031,2014,Vazhum Deivam,Sundar,"Anusha, Mohana, Charmila, Radharavi",Drama,SRP Films
1032,2014,Vadacurry,Saravana Rajan,"Jai, Swati Reddy, Kasthuri, RJ Balaji",Comedy thriller,Meeka Entertainment
1033,2014,Netru Indru,Padmamagan,"Vimal, Prasanna, Richard, Arundhathi, Manochitra",Adventure thriller,26699 Cinema
1034,2014,Sooraiyadal,Thamara Kannan,"Sribalaji, Leema Babu, Gayathri",Drama,Thrilok Productions
1035,2014,Vetri Selvan,Rudhran,"Ajmal, Radhika Apte, Mano",Drama,Silicon Studios
1036,2014,Athithi,Bharathan,"Nandha, Ananya, Nikesh Ram",Thriller,Spellbound Films
1037,2014,Dhanush 5am Vaguppu,Kathaga Thirumalavan,"Akhil, Ashrita, K. R. Vijaya",Drama,K V Productions
1038,2014,Enna Satham Indha Neram,Guru Ramesh,"Nithin Sathya, N. Puralavan, Raja, Maanu, Malavika Wales",Comedy thriller,A. V. A Productions
1039,2014,Saivam,A. L. Vijay,"Nassar, Baby Sara, Baasha, Twara Desai",Drama,Think Big Studios
1040,2014,Arima Nambi,Anand Shankar,"Vikram Prabhu, Priya Anand",Thriller,V Creations
1041,2014,Nalanum Nandhiniyum,Venkatesan,"Michael Thangadurai, Nandita Swetha",Romance,Libra Productions
1042,2014,Pappali,A. Govindamurthy,"Senthil Kumar, Ishara Nair",Romantic comedy,Arasur Movies
1043,2014,Ramanujan,Gnana Rajasekaran,"Abhinay Vaddi, Bhama, Suhasini Maniratnam, Abbas, Sarath Babu",Biopic,Camphor Cinema
1044,2014,Sooran,Balu Narayanan,"Karan, Shipali Sharma, Anumol",Drama,Arowana Pictures
1045,2014,Irukku Aana Illai,K. M. Saravanan,"Vivanth, Eden Kuriakosse, Manisha Shree",Horror comedy,Varam Creations
1046,2014,Sathuranga Vettai,H. Vinoth,"Natarajan Subramaniam, Ishara Nair",Heist-comedy,"Manobala's Picture House,SR Cinema"
1047,2014,Thalaikeezh,Rex Raj,"Rakesh, Nanda, Thejamai",Erotic thriller,Maadha Creations
1048,2014,Velaiyilla Pattathari,Velraj,"Dhanush, Amala Paul, Vivek",Action-comedy,Wunderbar Films
1049,2014,Thirumanam Enum Nikkah,Anees,"Jai, Nazriya Nazim, Hebah Patel",Romance,Aascar Films
1050,2014,Innarku Innarendru,Aandal Ramesh,"Silambarasan, Anjana, Stephy",Romance,Elumalayin Movies
1051,2014,Jigarthanda,Karthik Subbaraj,"Siddharth, Lakshmi Menon, Bobby Simha",Mob,Five Star Films
1052,2014,Muthal Manavan,Gopi Gandhi,"Gopi Gandhi, Sanu, Iswarya, Ramya",Drama,RSG Pictures
1053,2014,Sandiyar,Chozhadevan,"Jagan, Kayal, Nayakam",Action,Vendhar Movies
1054,2014,Sarabham,Arun Mohan,"Naveen Chandra, Salony Luthra, Aadukalam Naren",Thriller,Thirukumaran Entertainment
1055,2014,Agni,AJR Harikesava,"AJR Harikesava, Kavin Shree",Romance,Sri Krishna Thiraikoodam
1056,2014,Bharani,Mavanan,"Raja Prabhu, Vijay Kathir, Leelakumar, Umashree",Drama,IRP Productions
1057,2014,Anjaan,Lingusamy,"Suriya, Samantha, Vidyut Jamwal, Manoj Bajpai",Action,UTV Motion Pictures
1058,2014,Kathai Thiraikathai Vasanam Iyakkam,R. Parthiepan,"Santhosh Prathap, Akhila Kishore, Sahithya Jagannathan",Drama,Reves Creations
1059,2014,Snehavin Kadhalarkal,Muthuramalincoln,"Advaitha, Ashwanth Thilak, Uday, Athif",Romance,Tamilan Kalaikkoodam
1060,2014,Aindhaam Thalaimurai Sidha Vaidhiya Sigamani,Ravichandar,"Bharath, Nandita Swetha, Karunakaran",Comedy,Rajam Productions
1061,2014,Kabadam,Jyothimurugan,"Sachin, Santhosh, Angana Roy",Drama,Chozha Creations
1062,2014,Irumbu Kuthirai,Yuvaraj Bose,"Atharvaa, Priya Anand, Raai Laxmi",Action,AGS Entertainment
1063,2014,Kadhal 2014,Sughandan,"Harish, Neha, Appukutty, Manikandan",Romance,Saravana Film Makers
1064,2014,Megha,Karthik Rishi,"Ashwin Kakumanu, Srushti Dange, Angana Roy",Romance,GB Studios
1065,2014,Puthiyathor Ulagam Seivom,Nithyanandam,"Aajeedh, Anu, Yazhini, Santhosh, Pravin",Drama,Sri Teja Films
1066,2014,Salim,N. V. Nirmal Kumar,"Vijay Antony, Aksha Pardasany",Thriller,Studio 9 ProductionVijay Antony Film Corporation
1067,2014,Amara Kaaviyam,Jeeva Shankar,"Sathya, Miya",Romantic drama,The Show People
1068,2014,Kadhalai Thavira Verondrum Illai,K. Selva Bharathy,"Yuvan, Saranya Mohan",Romantic comedy,Chen Movies
1069,2014,Kalla Saavi,Rajeswaran,"Rajeswaran, Varsha",Adult,Siva Muruga Pictures
1070,2014,Pattaya Kelappanum Pandiya,S. P. Rajkumar,"Vidharth, Manisha Yadav",Comedy,Mutiara Films International
1071,2014,Poriyaalan,Thanukumar,"Harish Kalyan, Anandhi",Drama,A Grassroot Film Company
1072,2014,Valiyudan Oru Kadhal,Sanjeevan,"Kevin, Gowri Nambiar, Rajesh, Uma",Romance,Matha's Blessing Studios
1073,2014,Burma,Dharanidharan,"Michael Thangadurai, Reshmi Menon, Atul Kulkarni, Sampath Raj",Comedy thriller,Square Stone Films
1074,2014,Sigaram Thodu,Gaurav,"Vikram Prabhu, Monal Gajjar, Sathyaraj",Action,UTV Motion Pictures
1075,2014,Vachikava,Rabi,"Manickavel, Priyanka",Romance,Nalinaa Cine Circuit
1076,2014,Vanavarayan Vallavarayan,Rajmohan,"Kreshna, Makapa Anand, Monal Gajjar",Comedy drama,Mahalakhsmi MoviesZero Rules Entertainment
1077,2014,Aadama Jaichomada,Badri,"Karunakaran, Bobby Simha, Vijayalakshmi",Comedy,B&C Films
1078,2014,Aal,Anand Krishna,"Vidharth, Hardika Shetty",Thriller,Shoundaryan Pictures
1079,2014,Aranmanai,Sundar C.,"Hansika Motwani, Vinay, Andrea Jeremiah, Lakshmi Rai, Sundar C.",Horror comedy,Vision Medias
1080,2014,Maindhan,Kumaresan,"Kumaresan, Shaila Nair, Hanuman, Geetha",Drama,CK Films
1081,2014,Rettai Vaalu,Desika,"Akhil, Saranya Nag",Drama,Pranav Productions
1082,2014,Tamilselvanum 50KM Kalaiselviyum,P. Pandiyan,"Rajesh, Kalai Anamika, Mahendran, Dilsha",Romance,Mayil Mass Media
1083,2014,Ambel Jhoot,Divakar,"Hashmitha Reddy, Libin",Action,Jaystar Productions
1084,2014,Jeeva,Suseenthiran,"Vishnu, Sri Divya, Soori",Sports drama,"The Show People,The Next Big Film,Vennila Kabadi Team Productions"
1085,2014,Madras,Pa. Ranjith,"Karthi, Catherine Tresa, Kalaiarasan",Drama,Studio Green
1086,2014,Thalaikkonam,Padmaraj,"Jithesh, Riya",Drama,S Productions
1087,2014,Naan Ponnu Ondru Kanden,Sanjeev Srinivas,"Ashwinraj, Vidarsha",Romance,Force Cinemas
1088,2014,Theriyama Unna Kadhalichitten,K. Ramu,"Vijay Vasanth, Rasna",Romance,Triple V Records
1089,2014,Yaan,Ravi K. Chandran,"Jiiva, Thulasi Nair",Action,R. S. Infotainment
1090,2014,Aalamaram,S. N. Duraisingh,"Hemanth Kumar, Avanthika Mohan",Horror,Peacock Motion Picture
1091,2014,Gubeer,Thilip,"Thilip, Ravi, Prabhu, Prathap",Comedy,Archer Cinemas
1092,2014,Jamaai,M. Jayakumar,"Naveen, Udhaya, Vaijayanthi, Nivisha",Romance,Classic Cine Circuit
1093,2014,Kurai Ondrum Illai,Karthik Ravi,"Geethan Britto, Haritha Parokod",Drama,Pathway Productions
1094,2014,Muyal,Guhan,"Murali, Saranya Nag, Shivani, Aishwarya",Drama,P&V Entertainment
1095,2014,Nee Naan Nizhal,John Robinson,"Arjun Lal, Ishitha, Sarath Kumar",Thriller,Sri Muthuramman Pictures
1096,2014,Pulippu Inippu,Ranjith Bose,"Mithun Tejasvi, Rishi Bhutani, Mansi, Gayatri",Comedy,Shilpa Motion Works
1097,2014,Vennila Veedu,Vetri Mahalingam,"Mirchi Senthil, Vijayalakshmi, Srinda Ashab",Family drama,Adharsh Studio
1098,2014,Yaavum Vasappadum,Puthiyavan Rasiah,"Vijith, Dilpikaa",Drama,AAA Productions
1099,2014,Kaththi,AR Murugadoss,"Vijay, Samantha, Neil Nitin Mukesh",Action thriller,Lyca Productions
1100,2014,Poojai,Hari,"Vishal, Shruti Haasan, Sathyaraj",Action-masala,"Vendhar Movies,Vishal Film Factory"
1101,2014,Kadhalukku Kannillai,Jai Akash,"Jai Akash, Nisha, Alisha Das",Romance,Jai Balaji Movie Makers
1102,2014,Kalkandu,A. M. Nandakumar,"Gajesh, Dimple Chopade, Akhil",Comedy,Rajarathnam Films
1103,2014,Nerungi Vaa Muthamidathe,Lakshmy Ramakrishnan,"Shabeer, Piaa Bajpai, Sruthi Hariharan",Road film,AVA Productions
1104,2014,Sokku Sundaram,A. Sridhar,"M.R., Soujanya",Comedy,M.R. Moviemakers
1105,2014,Jaihind 2,Arjun,"Arjun, Surveen Chawla, Simran Kapoor, Rahul Dev",Action,Sri Rama Films International
1106,2014,Oru Oorla Rendu Raja,R. Kannan,"Vimal, Priya Anand, Soori",Comedy,Kannan Pix
1107,2014,Panduvam,Keaton,"Melvin Siddhesh, Swasika",Action,GS Productions
1108,2014,Appuchi Gramam,Vi Anand,"Praveen Kumar, Anusha Naik, Suja Varunee, Swasika",Science fiction,Eye Catch Multimedia
1109,2014,Anbendral Amma,,,Drama,
1110,2014,Gnana Kirukkan,Ilayadevan,"Jagaraj, Daniel Balaji, Archana Kavi, Sushmitha, Senthi Kumari",Drama,Thangammal Movie Makers
1111,2014,Murugatrupadai,K. Muruganandam,"Saravana, Navika Kotia",Drama,Sigaram Visual Media
1112,2014,Pulipaarvai,Praveen Gandhi,Sathya Dev,Drama,Vendhar Movies
1113,2014,Thirudan Police,Caarthick Raju,"Attakathi Dinesh, Aishwarya Rajesh, Nithin Sathya",Action comedy,"Capital Film Works,Kenanya Films"
1114,2014,Vilasam,Raj Ganesan,"Pawan, Sanam Shetty, Sujibala, Aruldoss",Action,Sree Sanaa Films
1115,2014,Chinnan Chiriya Vanna Paravai,Vijayan,"Ashwin Kumar, Anu Krishna",Romance,NKP Productions
1116,2014,Kaadu,Stalin Ramalingam,"Vidharth, Samskruthy Shenoy, Samuthirakani",Drama,Chakravarthy Films International
1117,2014,Naaigal Jaakirathai,Shakti Soundar Rajan,"Sibiraj, Arundhati, Balaji Venugopal",Thriller,Nathambal Film Factory
1118,2014,Vanmam,Jaikrishna,"Vijay Sethupathi, Kreshna, Sunaina",Action drama,Nemichand Jhabak Productions
1119,2014,Vizhi Moodi Yosithaal,K. G. Senthil Kumar,"K. G. Senthil Kumar, Nikita",Sci-Fi Romantic Thriller,Twister Films
1120,2014,Aaaah,Hari-Hareesh,"Gokulnath, Meghna, Bala Saravanan, Bobby Simha",Horror,"KTVR Creative Frames,Shankar Bros"
1121,2014,Kaaviya Thalaivan,Vasanthabalan,"Siddharth, Prithviraj, Vedhicka, Anaika Soti",Historical fiction,"Y NOT Studios,Radiance Media Group"
1122,2014,Mosakutty,M. Jeevan,"Veera, Mahima Nambiar, Pasupathy",Romance,Shalom Studios
1123,2014,Velmurugan Borewells,M. P. Gopi,"Mahesh, Aarushi, Ganja Karuppu",Comedy,Tharun Kaanth Film Factory
1124,2014,Vingyani,Paarthi,"Paarthi, Meera Jasmine, Vivek, Sanjana Singh",Science-fiction thriller,Paarthis Pictures
1125,2014,1 Pandhu 4 Run 1 Wicket,Veera,"Vinay Krishna, Hashika, Lollu Sabha Jeeva",Horror,Rising Sun Films
1126,2014,13 Am Pakkam Parkka,Pughazhmani,"Ramji, Sri Priyanka, Rathan Mouli, Sriram Karthik",Horror,RVK Film Media
1127,2014,Azhagiya Pandipuram,N. Rayan,"Elango Nagarajah, Anjena Kirti",Romance,Thaimann Production
1128,2014,Manam Konda Kadhal,Pugazhenthi Raj,"Muthuram, Nofiya, Shriya",Romance,Rithish Harish Movies
1129,2014,Naangellam Edakoodam,R. Vijayakumar,"Manoj Devadas, Parvathi Suresh, Visakar Selvamani, Hensa",Drama,Kurundhudayar Production
1130,2014,Pagadai Pagadai,Sasi Shanker,"Dileep Kumar, Divya Singh, Richu Singh",Romance,Wisdom Films
1131,2014,Ra,Prabu Yuvaraj,"Ashraf, Aditi Chengappa",Fantasy thriller,Plan A Studios
1132,2014,Innuma Nammala Namburanga,S. R. Balaji,"Sudhagar, Thiruveni",Romance,Aniloops Production
1133,2014,Lingaa,K. S. Ravikumar,"Rajinikanth, Anushka Shetty, Sonakshi Sinha",Action,Rockline Entertainments
1134,2014,Yaaro Oruvan,K. N. Baiju,"Ram, Suresh Naran, Manavram, Alisha",Thriller,Navagraha Cine Arts
1135,2014,Nadodi Paravai,T Vijaya Ragava Chakravarthi,"Tharun, Sri Ragavi",Drama,Dhanam Pictures
1136,2014,Natpin Nooram Naal,Raja Desingu,"Vijaya Chiranjeevi, Saina",Crime thriller,Sree Vetrivel Film Academy
1137,2014,Pisasu,Mysskin,"Naga, Prayaga Martin, Harish Uthaman",Horror,B Studios
1138,2014,Sutrula,V. Rajesh,"Richard, Mithun, Srija,  Prajin, Ankitha, Sandra Amy",Thriller,Purple Vision
1139,2014,Endrume Anandham,Vivekabarathi,"Mahendran, Bharathi Kannan, Swetha",Drama,Narkavi Talkies
1140,2014,Kappal,Karthik Krish,"Vaibhav, Sonam Bajwa, Karunakaran",Comedy,S Pictures
1141,2014,Kayal,Prabhu Solomon,"Chandran, Anandhi, Vincent",Romantic,Escape Artists Motion Pictures
1142,2014,Meaghamann,Magizh Thirumeni,"Arya, Hansika Motwani, Sudhanshu Pandey",Action Drama,Nemichand Jhabak Productions
1143,2014,Vellaikaara Durai,Ezhil,"Vikram Prabhu, Sri Divya",Comedy,Gopuram Films
1144,2014,Pesadha Padam,Aadhavan,"Abirooban, Bharathi",Romance,Miracle Cinemas
1145,2013,Kalla Thuppakki,Logiyas,"Kutty Anand, Sampath Ram, Viccy, Prabhakaran, Sravanthika",Comedy,null
1146,2013,Kanavu Kadhalan,Thiruna Annan,"Udhay, Saritha Yadav, Meera Krishnan",Romance,null
1147,2013,Kurumbukkara Pasanga,T. Samydurai,"Sanjeev, Monica, Manobala, Pandiarajan",Drama,null
1148,2013,Mayil Paarai,P. Siva Kumar,,Romance,null
1149,2013,Nanbargal Gavanathirkku,K. Jayakumar,"Varshan, Manisha Jith, Sanjeev",Drama,null
1150,2013,Nimidangal,Geetha Krishnan,"Shashank, Priyanka, Suman, Atul Kulkarni",Crime,null
1151,2013,Alex Pandian,Suraj,"Karthi, Anushka Shetty, Santhanam, Nikita Thukral, Milind Soman, Suman",Action,null
1152,2013,Kanna Laddu Thinna Aasaiya,K. S. Manikandan,"Sethu, Santhanam, Srinivasan, Vishakha Singh",Comedy,null
1153,2013,Samar,Thiru,"Vishal, Trisha Krishnan, Sunaina",Action,null
1154,2013,Puthagam,Vijay Adhiraj,"Sathya, Jagapati Babu, Rakul Preet Singh, Sanjay Bharathi, Rachana Maurya",Drama,null
1155,2013,Vijayanagaram,Tanveer,"Sivan, Hasini, Bhanu Chander, Aryan",Drama,null
1156,2013,Pathayeram Kodi,Srinivasan Sundar,"Dhruv Bhandari, Madalasa Sharma, Vivek, Kanishka Soni",Comedy,null
1157,2013,Kadal,Mani Ratnam,"Gautham Karthik, Thulasi Nair, Arvind Swamy, Arjun, Lakshmi Manchu",Drama,null
1158,2013,David,Bejoy Nambiar,"Vikram, Jiiva, Tabu, Isha Sharvani, Lara Dutta",Drama,null
1159,2013,Vishwaroopam,Kamal Haasan,"Kamal Haasan, Pooja Kumar, Rahul Bose, Andrea Jeremiah",Spy thriller,null
1160,2013,Nesam Nesapaduthe,Rajasuriyan,"Vendhan, Arasi, Ragava",Romance,null
1161,2013,Sillunu Oru Sandhippu,Ravi Lallin,"Vimal, Dipa Shah, Oviya",Romance,null
1162,2013,Vana Yuddham,A. M. R. Ramesh,"Arjun, Kishore, Vijayalakshmi, Lakshmi Rai",Thriller,null
1163,2013,Ameerin Aadhi Bhagavan,Ameer Sultan,"Jayam Ravi, Neetu Chandra, Sudha Chandran",Action,null
1164,2013,Ariyathavan Puriyathavan,J. K,"J. K, Unnimaya",Drama,null
1165,2013,Haridas,G. N. R. Kumaravelan,"Kishore, Sneha, Prithviraj Das",Drama,null
1166,2013,Paatti,Ramesh,"Ranganayaki, Nagina, Mahalakshmi, Baby Nandhini, Naveen Rajan",Drama,null
1167,2013,Aandava Perumal,Sathish Kumar,"Sivan, Sasi, Idhaya, Jeeva",Romance,null
1168,2013,Chuda Chuda,Idhayan,"Idhayan, Sri Iraa, Leema, Shobina, Durga",Romance,null
1169,2013,Chandamama,Radhakrishnan,"Karunas, Shweta Basu Prasad, Harish Kalyan",Comedy,null
1170,2013,Lollu Dada Parag Parag,K. Viyasan,"Mansoor Ali Khan, Shilpha",Comedy,null
1171,2013,Vellachi,Velu Viswanath,"Pintu, Suchitra Unni, Ganja Karuppu",Romance,null
1172,2013,Mathil Mel Poonai,Barani Jayapal,"Vijay Vasanth, Vibha Natarajan",Thriller,null
1173,2013,Onbadhule Guru,P. T. Selvakumar,"Vinay Rai, Aravind Akash, Premgi Amaren, Lakshmi Rai",Comedy,null
1174,2013,Pesamal Pesinaal,Sivamanoharan,"Santhosh, Gayathri, Nizhalgal Ravi",Romance,null
1175,2013,Sundaattam,Brahma G. Dev,"Irfan, Arundhathi, Madhu",Romance,null
1176,2013,Garuda Paarvai,Vivehanandan,"Vivehanandan, Puja Vijayan, Ramamurthi Yadav, Sheela, Gandhi, Ravi",Drama,null
1177,2013,Karumpuli,Parameshwar,"Mahesh, Rathan Mouli, Varsha Pandey, Prachee Adhikari, Soorya Kiran, Arul Azhagan",,null
1178,2013,Paradesi,Bala,"Adharvaa, Vedhicka, Dhansika",Drama,null
1179,2013,Vatthikuchi,H.nowfal riswan,"Dhileban, Anjali, Jayaprakash, Sampath Raj",Thriller,null
1180,2013,Kan Pesum Varthaigal,R. Balaji,"Mirchi Senthil, Iniya",Romance,null
1181,2013,Kantha,,"Karan, Mithra Kurian",,null
1182,2013,Karuppampatti,Tha. Prabhu Raja Cholan,"Ajmal Ameer, Aparnaa Bajpai, Alice Tantardini",Drama,null
