,year,title,director,cast,genre,producer
1206,2011,Lathika,"R. Bharathan, Dr. Srinivasan","Dr. Srinivasan, Meenakshi Kailash, Rahman",Masala,Produced by Lathika Films
1207,2011,Minsaaram,N. Selvakumar,"Thol. Thirumavalavan, Yuvaraaj, Madhusantha, Sowganthi",Romance,Produced by Kovai Film City
1208,2011,Avargalum Ivargalum,Veera Pandian,"Sathish, Vimal Natarajan, Aishwarya, Supraja, Agathiyan",Drama,Produced by Lakshika Films
1209,2011,Muthukku Muthaaga,Rasu Madhuravan,"Natraj, Ilavarasu, Vikranth, Oviya, Monica, Saranya Ponvannan",Drama,Produced by Pandiyanadu Theatres
1210,2011,Kullanari Koottam,Sribalaji,"Vishnu Vishal, Remya Nambeesan",Romance,
1211,2011,Kumara,T. K. Shanmughasundaram,"Ratheeshvaratha, Roopashree",Romance,
1212,2011,Padai Soozha,A. S. Prabhu,"Ganesh Prasad, Prasad Raj, Varshini",Masala,
1213,2011,Sattapadi Kutram,S. A. Chandrasekhar,"Sathyaraj, Vikranth, Bhanu, Harish Kalyan, Komal Sharma",Action,
1214,2011,Nil Gavani Sellathey,Anand K. Chakravarthy,"Anand K. Chakravarthy, Jagan, Dhansika, Lakshmi Nair",Suspense thriller,"Produced by Imagine Creations,Re-release"
1215,2011,Appavi,R. Raghuraj,"Gautham, Suhani Kalita, K. Bhagyaraj",Drama,Produced by Chartered Arts
1216,2011,Nanjupuram,Charles,"Raaghav, Monica","Thriller, Fantasy",Produced by Illusionz Infinite
1217,2011,Thenkasi Pakkathula,A. Anthony,"Ajay, Ashmitha",Drama,Produced by Classic Combines
1218,2011,Mappillai,Suraj,"Dhanush, Hansika Motwani, Manisha Koirala",Masala,Produced by Nemichand Jhabak
1219,2011,Ponnar Shankar,Thyagarajan,"Prashanth, Pooja Chopra, Divya Parameshwaran, Sneha, Kushboo, Prakash Raj, Jayaram",Epic,Produced by Lakshmi Shanthi Movies
1220,2011,Ko,K. V. Anand,"Jeeva, Karthika Nair, Ajmal, Piaa Bajpai",Thriller,Produced By RS Infotainment
1221,2011,Vikadakavi,G. Krishnan,"Sathish, Amala Paul",Romance,Produced by ABC Studious
1222,2011,Kadhal Meipada,Ravi Aacharya,"Vishnu Priyan, Madhumitha, Thalaivasal Vijay",Romance,
1223,2011,Vaanam,Krish,"Silambarasan, Bharath, Anushka Shetty, Prakash Raj, Saranya","Action, Drama",Produced by VTV Productions & Magic Box Pictures
1224,2011,Poova Thalaiya,Sanjay Ram,"Krishnakumar, Udhaya, Sherin, Megha Nair",Drama,Produced by Lingam Theatres
1225,2011,Engeyum Kadhal,Prabhu Deva,"Jayam Ravi, Hansika Motwani",Romance,Produced by AGS Entertainment
1226,2011,Paasakaara Nanbargal,Firoze Khan,"Ajmal Khan, Divya Nagesh",Drama,Produced by Angel Film International
1227,2011,Azhagarsamiyin Kudhirai,Suseenthiran,"Appukutty, Saranya Mohan, Advaitha",Comedy drama,Produced by Escape Artists Motion Pictures
1228,2011,Narthagi,G. Vijayabathma,"Vivin, Swathi, Kalki, Leema Babu",Drama,Produced by SG Films
1229,2011,Kandaen,A. C. Mugil,"Shanthnoo Bhagyaraj, Rashmi Gautham, Santhanam",Romantic comedy,Produced by Sri Sivaselvanayagiamman Movies
1230,2011,Maithanam,M. S. Sakthivel,"M. A. Kennedy, Suresh Guru, Jyothi Raj, Swasika",Drama,Produced by Anjana Cinemas
1231,2011,Suttum Vizhi Chudare,Thilakar,"Chandru, Vinith, Sushma, Priyashri, Jeeva",Romance,Produced by Nila Films
1232,2011,Eththan,L. Suresh,"Vimal, Sanusha",Action,Produced by Sherali Films
1233,2011,Sabash Sariyana Potti,Venu Arvind,"Jayaram, Sriram Karthik, Anjana Thamburatti, Deepa Narendra",Comedy,Produced by Dwaraka Movies
1234,2011,"JUNE
","3
",Aanmai Thavarael,D. Kuzhandai Velappan,"Dhurva, Shruthi, Sampath Raj"
1235,2011,Anbirkku Alavillai,"Maryam Kassai, Anand S Babu","Sumeet Pathak, Neetu Chaudhury, Johnny Lever",Romantic drama,Produced by Shepherd India Media Private Limited
1236,2011,Oru Santhippil,A. Sridhar,"M. S. Arulmani, Paveena",Adult,Produced by Tristar Movies
1237,2011,Aaranya Kaandam,Thiagarajan Kumararaja,"Jackie Shroff, Ravi Krishna, Sampath Raj, Yasmin Ponnappa","Mob, Neo-noir",Produced by Capital Film Works
1238,2011,Aasaipadugiren,Balu Manivannan,"Sekhar, Gayathri",Romance,
1239,2011,Shanthi Appuram Nithya,Murali Vishwa,"Magha Aditya, Archana Sharma",Erotic thriller,
1240,2011,Anaagarigam,Krishna Devan,"Vibu, Prajwal Poovaiah, Vagitha, Rishikesh, Bobbylona",Erotic,
1241,2011,Avan Ivan,Bala,"Arya, Vishal, Janani Iyer, Madhu Shalini",Comedy drama,Produced by AGS Entertainment
1242,2011,Pillaiyar Theru Kadaisi Veedu,Thirumalai Kishore,"Jithan Ramesh, Sanchita Padukone, Suhasini","Romance, Action",Produced by Super Good Films
1243,2011,Udhayan,Chaplin,"Arulnithi, Pranitha Subhash",Action,Produced by Muthamizh Padaippagam
1244,2011,Nootrenbadhu,P. Jayendra,"Siddharth, Priya Anand, Nithya Menen",Romantic drama,Produced by SPI Cinemas & Aghal Films
1245,2011,"JULY
","1
",Arumbu Meesai Kurumbu Paarvai,Vetri Veeran,"Chandru, Jayanthi"
1246,2011,Theneer Viduthi,S. S. Kumaran,"Adith Arun, Reshmi Menon",Romance,Produced by Peacock Pictures
1247,2011,Venghai,Hari,"Dhanush, Tamannaah Bhatia, Rajkiran",Masala,Produced by Vijaya Productions
1248,2011,Deiva Thirumagal,A. L. Vijay,"Vikram, Anushka Shetty, Amala Paul, Baby Sara",Drama,Produced by Rajakaliamman Medias
